id,name,phone_number,places,type,sponsor_id,sponsor_name,sponsor_type,lat,lon,street,zip_code,city,planning_area_id
11171180,Kita Rappelkiste,+493080576487,16,Kindertagesstätte,7919,kinder pur e. V.,Sonstiger freier Träger,52.5021223,13.4888762,Lückstraße 65,10317,Berlin,11400929
11171190,Kita Stadthäuschen,+493051739643,25,Kindertagesstätte,8853,EntwicklungBewegt gUG (haftungsbeschränkt),Sonstiger freier Träger,52.5022879,13.48119,Stadthausstraße 3,10317,Berlin,11400928
11171200,Kita Dorothea,+49304624672,50,Kindertagesstätte,1262,Verein für aktive Vielfalt e.V.,Sonstiger freier Träger,52.4847554,13.52256998338214,Dorotheastraße 27,10318,Berlin,11501339
11171210,Kita Wolkenschaf,+493096086010,75,Kindertagesstätte,7854,Filigran gGmbH,Sonstiger freier Träger,52.4987313,13.5021866,Sewanstraße 43,10319,Berlin,11401136
11171220,Kreativitätskindertagesstätte Eigensinn,+4930606344,70,Kindertagesstätte,7520,Kreativitätsschulzentrum Berlin gGmbH,Sonstiger freier Träger,52.5160473,13.500725513650048,Rüdigerstraße 76,10365,Berlin,11300725
11171230,Kindergarten Rappelkiste,+493097995284,120,Kindertagesstätte,8475,Rappelkiste Medi-Sport gemeinnützige GmbH,Sonstiger freier Träger,52.5314744,13.4630161,Herbert-Tschäpe-Straße 2,10369,Berlin,11300616
11171240,Kita Spieltraum,+493076583689,25,Kindertagesstätte,7792,Spieltraum gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,52.50604,13.4949725,Sophienstraße 8,10317,Berlin,11400929
11171250,Kita Kesse Früchtchen,+493053143740,33,Kindertagesstätte,7952,SeeD e. V.,Sonstiger freier Träger,52.4808188,13.524132041404044,Wandlitzstraße 6,10318,Berlin,11501341
11171260,Kita Archenholdstraße,+493050368180,28,Kindertagesstätte,8229,DETI gGmbH,Sonstiger freier Träger,52.5068839,13.5035071,Archenholdstraße 29,10315,Berlin,11400930
11171280,Kindergarten Sonnenbogen,+493087336158,30,Eltern-Initiativ-Kindertagesstätte,8029,Elterninitiative zur Förderung der Waldorfpädagogik in Friedrichshain/Lichtenberg e. V.,Sonstiger freier Träger,52.5057043,13.4776009,Pfarrstraße 101,10317,Berlin,11400927
11171290,Kita Landsberger Allee,+49301751548922,60,Kindertagesstätte,7508,Die schlauen Mäuschen gemeinnützige GmbH,Sonstiger freier Träger,52.5328783,13.4840712,Landsberger Allee 228d,10367,Berlin,11300620
11171300,Herzberger Wurzelzwerge,+493067943647,30,Eltern-Initiativ-Kindertagesstätte,8096,Herzberger Wurzelzwerge e. V.,Sonstiger freier Träger,52.5141197,13.4994997,Hagenstraße 49,10365,Berlin,11300725
11171310,Kita Sophies Welt,+493051736031,115,Kindertagesstätte,7549,Sozialdiakonische Arbeit Lichtenberg-Oberspree GmbH,Diakonisches Werk,52.5062041,13.4951207,Sophienstraße 28,10317,Berlin,11400929
11171320,Kinder- und Familienzentrum KIKIFLO,+493052678749,85,Kindertagesstätte,1338,Albert-Schweitzer-Kinderdorf Berlin e.V.,Sonstiger freier Träger,52.5021202,13.5091191,Volkradstraße 4,10319,Berlin,11401136
11171330,Kinderladen Kaskelkinder,+493045940527,30,Eltern-Initiativ-Kindertagesstätte,8103,Kinderladen Kaskelkinder e.V.,Sonstiger freier Träger,52.5034539,13.4818946,Türrschmidtstraße 33,10317,Berlin,11400927
11171340,Kita Pepe Rakete,+493089751850,30,Kindertagesstätte,8806,Lebensnah Kitas gGmbH,Sonstiger freier Träger,52.4811635,13.5283893,Ehrenfelsstraße 9,10318,Berlin,11501340
11171350,Kita Märchenland,+49309860199921,80,Kindertagesstätte,4060,RBO - Inmitten gemeinnützige GmbH,Sonstiger freier Träger,52.5263877,13.4774129,Paul-Junius-Straße 64,10369,Berlin,11300619
11171360,Kita Quatschköpfe,+493050014589,26,Kindertagesstätte,8131,kijufa gGmbH,Sonstiger freier Träger,52.4798784,13.520809207130064,Ehrlichstraße 21,10318,Berlin,11501341
11171370,Kita Storkower Zauberwäldchen,+49304627656,25,Kindertagesstätte,8143,Kinderladen Storkower Zauberwäldchen e. V.,EKT,52.5254486,13.4656098,Franz-Jacob-Straße 4,10369,Berlin,11300618
11171380,Kita Am Carlsgarten,+493047594444,150,Kindertagesstätte,7674,PeWoBe Gemeinnützige Soziale Betreuungsgesellschaft mbH in Frankfurt/Oder,Sonstiger freier Träger,52.4788835,13.528864689290934,Am Carlsgarten 16,10318,Berlin,11501341
11171390,Luna Sternenstaub,+49307840338,25,Eltern-Initiativ-Kindertagesstätte,8178,BeKiLa e. V.,Sonstiger freier Träger,52.4798174,13.5144911,Liepnitzstraße 42,10318,Berlin,11501341
11171400,Kita an der alten Kastanie,+493097606526,105,Kindertagesstätte,8185,"abw - gemeinnützige Gesellschaft für Arbeit, Bildung und Wohnen mbH",Sonstiger freier Träger,52.5286923,13.4690331,Franz-Jacob-Straße 16,10369,Berlin,11300617
11171410,Kita Rübchen,+493067961194,30,Kindertagesstätte,8215,KIDclever gUG (haftungsbeschränkt),Sonstiger freier Träger,52.5247355,13.4823363,Paul-Zobel-Straße 8,10367,Berlin,11300620
11171420,Kita Fine Turbine,+49307446553,28,Kindertagesstätte,8806,Lebensnah Kitas gGmbH,Sonstiger freier Träger,52.5057451,13.480392,Hauffstraße 12,10317,Berlin,11400927
11171430,Kita Treskowallee,+493075442073,179,Kindertagesstätte,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Sonstiger freier Träger,52.4780623,13.5247118,Treskowallee 135,10318,Berlin,11501341
11171440,Kita Zauberinsel,+493017656815406,25,Kindertagesstätte,8287,Zauberinsel Gesellschaft für kindliche Sprachförderung und ästhetische Bildung UG (haftungsbeschränkt),Sonstiger freier Träger,52.5144445,13.4915423,Bürgerheimstraße 25,10365,Berlin,11300724
11171450,Kita Zahnlücke,+493052284449,40,Kindertagesstätte,8885,Buratino Berlin gGmbH,Sonstiger freier Träger,52.5005253,13.4947365,Lückstraße 32,10317,Berlin,11400929
11171460,Kita Rummelburger Straße,+493094796969,80,Kindertagesstätte,8300,IBP Privatinstitut für Bewusstseins-Pädagogik gGmbH,Sonstiger freier Träger,52.5017251,13.50255004708711,Rummelsburger Straße 61,10315,Berlin,11401136
11171470,Kita Marie-Curie-Allee,+493049085193,25,Kindertagesstätte,8179,tuKita gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,52.5090054,13.5038275,Marie-Curie-Allee 4,10315,Berlin,11400929
11171480,Kita Mausezahn,+493081030903,35,Kindertagesstätte,8215,KIDclever gUG (haftungsbeschränkt),Sonstiger freier Träger,52.5098203,13.5025656,Einbecker Straße 32,10317,Berlin,11400929
11171490,Kita Kleine Wichtel,+493050154030,150,Kindertagesstätte,7674,PeWoBe Gemeinnützige Soziale Betreuungsgesellschaft mbH in Frankfurt/Oder,Sonstiger freier Träger,52.4867675,13.5243787,Marksburgstraße 38,10318,Berlin,11501339
11171500,ABC Kindergarten,+493050154228,25,Kindertagesstätte,7927,ABC Kindergarten gUG (haftungsbeschränkt),Sonstiger freier Träger,52.4788428,13.5138621,Liepnitzstraße 49,10318,Berlin,11501341
11171510,Kita an der Hochschule für Technik und Wirtschaft,+4930939398610,74,Kindertagesstätte,1256,studierendenWERK BERLIN,Sonstiger freier Träger,52.4894521,13.5256726,Hönower Straße 35,10318,Berlin,11501339
11171520,Private Europa-Kita,+49308108577,215,Kindertagesstätte,8358,P.E.K. Private Europa Kindertagesstätte Elite gGmbH,Sonstiger freier Träger,52.5330292,13.468552196730716,Judith-Auer-Straße 6,10369,Berlin,11300616
11171530,KITA Seepiraten,+493055440740,110,Kindertagesstätte,1355,Käpt'n Browser gemeinnützige Gesellschaft mit beschränkter Haftung,Sonstiger freier Träger,52.5014362,13.4743157,Hauptstraße 3,10317,Berlin,11501238
11171540,Kita Paule am Park,+49304431885600,154,Kindertagesstätte,1299,Hanna gGmbH Kita-Trägerschaften,Sonstiger freier Träger,52.52738815,13.476301218646045,Paul-Junius-Straße 67,10369,Berlin,11300617
11171550,Zauberwald,+493017656815406,15,Kindertagesstätte,8287,Zauberinsel Gesellschaft für kindliche Sprachförderung und ästhetische Bildung UG (haftungsbeschränkt),Sonstiger freier Träger,52.5142794,13.4915007,Bürgerheimstraße 23,10365,Berlin,11300724
11171560,Musikkindergarten Lichtenberg,+493050012335,85,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.4855691,13.5245876,Gundelfinger Straße 39,10318,Berlin,11501339
11171570,Christliche Kita Fischlein,+493017623114017,25,Kindertagesstätte,8442,TW Help for Family gGmbH,Sonstiger freier Träger,52.52529545,13.471502963877338,Rudolf-Seiffert-Straße 53,10369,Berlin,11300619
11171580,BIP Kreativitätskita Treskow-Höfe,+493023926130,117,Kindertagesstätte,8454,BIP - Gesellschaft für Kreativitätspädagogik gGmbH,Sonstiger freier Träger,52.4913599,13.5270267,Treskowallee 22,10318,Berlin,11501339
