id,name,phone_number,places,type,sponsor_id,sponsor_name,sponsor_type,street,zip_code,city,lat,lon,planning_area_id
4090850,Paul und Klärchen,+49308549440,15,Eltern-Initiativ-Kindertagesstätte,894,Kinderladen Paul und Klärchen e.V.,EKT,Mainzer Straße 26,10715,Berlin,52.4800477,13.3225578,04501151
4090890,EIKITA Felix,+49308537601,19,Eltern-Initiativ-Kindertagesstätte,859,EIKITA Felix e. V.,EKT,Wexstraße 20,10715,Berlin,52.478811,13.3338407,04501153
4090910,Kita Joh. Sozialwerk,+493089688191,105,Kindertagesstätte,1234,Johannisches Sozialwerk e.V.,Sonstiger freier Träger,Bismarckallee 23,14193,Berlin,52.4889142,13.278082,04400726
4090920,Waldorfkindergarten Wilmersdorf e.V.,+49308614440,75,Kindertagesstätte,1273,Waldorfkindergarten Wilmersdorf e.V.,Sonstiger freier Träger,Mansfelder Straße 37,10709,Berlin,52.4900407,13.30756680526941,04500939
4090940,Internationaler Kindergarten,+49308926644,60,Kindertagesstätte,8244,Internationaler Kindergarten Berlin 1984 gemeinnützige GmbH,Sonstiger freier Träger,Ravensberger Straße 5B,10709,Berlin,52.4963217,13.3064365,04500939
4090990,Kita Prinzregentenstraße,+49302182314,35,Kindertagesstätte,1249,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,Prinzregentenstraße 97,10717,Berlin,52.492686,13.3334978,04501152
4091000,Maikäfer (Gartenhaus),+49308623049,21,Eltern-Initiativ-Kindertagesstätte,1036,M a i k ä f e r e. V.,EKT,Brandenburgische Straße 75,10713,Berlin,52.487939,13.31725234856557,04501146
4091020,Die Lauser,+49308543415,18,Eltern-Initiativ-Kindertagesstätte,582,Die Lauser e.V.,EKT,Koblenzer Straße 7,10715,Berlin,52.4801079,13.3214015,04501151
4091030,Arche Noah,+49308531786,21,Eltern-Initiativ-Kindertagesstätte,534,Elterninitiativ-Kindertagesstätten-Verein Arche Noah e.V.,EKT,Hildegardstraße 16,10715,Berlin,52.4819508,13.3217463,04501151
4091040,Hildegarten,+49308539160,20,Eltern-Initiativ-Kindertagesstätte,673,Eltern-Initiativ-Kindertagesstätte Hildegarten e. V.,EKT,Hildegardstraße 16,10715,Berlin,52.4819508,13.3217463,04501151
