id,name,phone_number,places,type,sponsor_id,sponsor_name,street,zip_code,lat,lon,planning_area_id
1030350,Kita Afrikanische Straße,+493045023277,150,Reguläre Einrichtung,1318,Kinder im Kiez gGmbH,Afrikanische Str. 28,13351,52.5489133,13.3420251,01400938
1030370,Kita Märchenland,+493049988690,160,Reguläre Einrichtung,107,Orte für Kinder GmbH,Bornholmer Str. 44,13359,52.5554476,13.3935736,01300732
1030390,Kita Stettiner Str. 21-23/Kigä City,+49304620606,184,Reguläre Einrichtung,120,Kindergärten City,Stettiner Str. 21,13357,52.5540868,13.3879177,01300733
1030400,Kita Maji-Maji-Allee 14/Kigä City,+49305128686,160,Reguläre Einrichtung,120,Kindergärten City,Maji-Maji-Allee 14,13351,52.5556878,13.3337478,01400937
1030410,Ev. Kita Nazareth,+49304566291,75,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Nazarethkirchstr. 50,13347,52.5478490,13.3592034,01401048
1030420,Ev. Kinderhaus Kapernaum,+49304536307,70,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Seestr. 35,13353,52.5487676,13.3496176,01400942
1030430,Ev. Kita Stephanus,+49304936262,80,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Soldiner Str. 21,13359,52.5586142,13.3878830,01300732
1030440,Ev. Osterkita,+49304543559,85,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Sprengelstr. 35,13353,52.5416452,13.3549974,01401046
1030470,Kath. Kita St. Sebastian,+4930259365141,55,Reguläre Einrichtung,9193,Kitas im Erzbistum Berlin-Zweckverband der katholischen Kirchengemeinden,Feldstr. 20,13355,52.5373790,13.3836536,01300835
1030480,Kath. Kita St. Robert,+4930259365154,65,Reguläre Einrichtung,9193,Kitas im Erzbistum Berlin-Zweckverband der katholischen Kirchengemeinden,Hochstädter Str. 14,13347,52.5507842,13.3643094,01401049
1030510,AWO Kita Sonnenblume,+49304556650,130,Reguläre Einrichtung,150,Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.,Reinickendorfer Str. 62,13347,52.5543254,13.3656469,01401049
1030520,EKT - Kila Spatzenkinder,+4930+49304655897,18,Reguläre Einrichtung,513,Unsere Zukunft e.V.,Bastianstr. 18,13357,52.5504735,13.3807520,01300836
1030530,EKT - Flohzirkus Wedding,+49304948076,18,Reguläre Einrichtung,628,Flohzirkus Wedding e.V.,Eulerstr. 10,13357,52.5541749,13.3918131,01300733
1030540,Freche Früchte,+49304536620,25,Reguläre Einrichtung,8683,KiTa Freche Früchte gemeinnützige UG (haftungsbeschränkt),Sprengelstr. 33,13353,52.5414081,13.3538531,01401046
1030550,EKT Sonnenblume,,18,Reguläre Einrichtung,978,Elterninitiativkindertagesstätte Sonnenblume e. V.,Fehmarner Str. 14,13353,52.5397386,13.3503809,01401046
1030580,EKT Gänseblümchen,+49304514024,17,Reguläre Einrichtung,642,GÄNSEBLÜMCHEN e.V.,Glasgower Str. 26,13349,52.5560993,13.3435908,01400939
