id,daycare_centers,places,inhabitants,inhabitants_age_below_6
01,322,20352,397004,20516
02,281,15934,292624,14918
03,382,25423,427276,22768
04,278,14081,343500,15921
05,158,12765,259277,15354
06,203,13944,310044,14153
07,280,17769,356959,18904
08,248,16223,329488,18021
09,207,15068,297236,16935
10,159,15777,294091,17487
11,171,18033,315548,19196
12,170,12420,274098,14765
