combined_address,geometry,address
Reinhardtstraße 31 10117 Berlin,POINT (13.3807663 52.5226714),"31, Reinhardtstraße, 10117, Reinhardtstraße, Berlin, Deutschland"
Torstraße 134 10119 Berlin,POINT (13.3998572 52.529344),"134, Torstraße, 10119, Torstraße, Berlin, Deutschland"
Glinkastraße 24 10117 Berlin,POINT (13.387391316441448 52.51329725),"Bundesministerium für Familie, Senioren, Frauen und Jugend, 24, Glinkastraße, 10117, Glinkastraße, Berlin, Deutschland"
Brunnenstraße 30 10119 Berlin,POINT (13.3984449 52.5345738),"30, Brunnenstraße, 10119, Brunnenstraße, Berlin, Deutschland"
Anklamer Straße 22 10115 Berlin,POINT (13.4003273 52.5356356),"22, Anklamer Straße, 10115, Anklamer Straße, Berlin, Deutschland"
Adalbertstraße 24 10179 Berlin,POINT (13.422653123581423 52.5055906),"24, Adalbertstraße, 10179, Adalbertstraße, Berlin, Deutschland"
Borsigstraße 32 10115 Berlin,POINT (13.3904099 52.528696),"32, Borsigstraße, 10115, Borsigstraße, Berlin, Deutschland"
Garnisonkirchplatz 2 10178 Berlin,POINT (13.401912 52.5217277),"2, Garnisonkirchplatz, 10178, Garnisonkirchplatz, Berlin, Deutschland"
Wilhelmstraße 50 10117 Berlin,POINT (13.3836571 52.5125435),"50, Wilhelmstraße, 10117, Wilhelmstraße, Berlin, Deutschland"
Köpenicker Straße 45 10179 Berlin,POINT (13.424421131751824 52.5092253),"45, Köpenicker Straße, 10179, Köpenicker Straße, Berlin, Deutschland"
Invalidenstraße 130 10115 Berlin,POINT (13.388788055749256 52.531419650000004),"130/131, Invalidenstraße, 10115, Invalidenstraße, Berlin, Deutschland"
Wilhelmstraße 54 10117 Berlin,POINT (13.38259262405118 52.513666349999994),"Bundesministerium für Ernährung und Landwirtschaft Dienstsitz Berlin, 54, Wilhelmstraße, 10117, Wilhelmstraße, Berlin, Deutschland"
Ziegelstraße 27 10117 Berlin,POINT (13.391335 52.5236126),"27, Ziegelstraße, 10117, Ziegelstraße, Berlin, Deutschland"
Rheinsberger Straße 56 10115 Berlin,POINT (13.3996798 52.5378234),"56, Rheinsberger Straße, 10115, Rheinsberger Straße, Berlin, Deutschland"
Chausseestraße 50B 10115 Berlin,POINT (13.3782694 52.5356426),"50B, Chausseestraße, 10115, Chausseestraße, Berlin, Deutschland"
Fehrbelliner Straße 51 10119 Berlin,POINT (13.401018969940292 52.5339984),"51, Fehrbelliner Straße, 10119, Fehrbelliner Straße, Berlin, Deutschland"
Wilhelmine-Gemberg-Weg 10 10179 Berlin,POINT (13.4246512 52.5105497),"10, Wilhelmine-Gemberg-Weg, 10179, Wilhelmine-Gemberg-Weg, Berlin, Deutschland"
Ackerstraße 3 10115 Berlin,POINT (13.3976003 52.5299984),"3, Ackerstraße, 10115, Ackerstraße, Berlin, Deutschland"
Steinstraße 27 10119 Berlin,POINT (13.4049809 52.5269043),"27, Steinstraße, 10119, Steinstraße, Berlin, Deutschland"
Kapelle-Ufer 2 10117 Berlin,POINT (13.3749486 52.5237456),"2, Kapelle-Ufer, 10117, Kapelle-Ufer, Berlin, Deutschland"
Ziegelstraße 5 10117 Berlin,POINT (13.390197631213475 52.52308755),"5-9, Ziegelstraße, 10117, Ziegelstraße, Berlin, Deutschland"
Mohrenstraße 11 10117 Berlin,POINT (13.3881935 52.5118842),"11, Mohrenstraße, 10117, Mohrenstraße, Berlin, Deutschland"
Wadzeckstraße 4 10178 Berlin,POINT (13.4157307 52.5252482),"4, Wadzeckstraße, 10178, Wadzeckstraße, Berlin, Deutschland"
Jacobystraße 4 10179 Berlin,POINT (13.4189273 52.5199581),"4, Jacobystraße, 10179, Jacobystraße, Berlin, Deutschland"
Wilhelmstraße 88 10117 Berlin,POINT (13.3817536 52.5130753),"88, Wilhelmstraße, 10117, Wilhelmstraße, Berlin, Deutschland"
Bergstraße 79 10115 Berlin,POINT (13.3951868 52.5296516),"79, Bergstraße, 10115, Bergstraße, Berlin, Deutschland"
Invalidenstraße 103 10115 Berlin,POINT (13.3809426 52.5295538),"103, Invalidenstraße, 10115, Invalidenstraße, Berlin, Deutschland"
Chausseestraße 84 10115 Berlin,POINT (13.3733503 52.5377697),"84, Chausseestraße, 10115, Chausseestraße, Berlin, Deutschland"
Alexandrinenstraße 56 10179 Berlin,POINT (13.4082649 52.5064999),"56, Alexandrinenstraße, 10969, Alexandrinenstraße, Berlin, Deutschland"
Hirtenstraße 12 10178 Berlin,POINT (13.4101806 52.5260461),"12, Hirtenstraße, 10178, Hirtenstraße, Berlin, Deutschland"
Jägerstraße 25 10117 Berlin,POINT (13.3949993 52.5139856),"25, Jägerstraße, 10117, Jägerstraße, Berlin, Deutschland"
