combined_address,geometry,address
Käthe-Niederkirchner-Straße 26 10407 Berlin,POINT (13.433055175996317 52.53019515),"26, Käthe-Niederkirchner-Straße, 10407, Käthe-Niederkirchner-Straße, Berlin, Deutschland"
Husemannstraße 12 10435 Berlin,POINT (13.4176996 52.5376808),"Begegnungsstätte Husemannstraße, 12, Husemannstraße, 10435, Husemannstraße, Berlin, Deutschland"
Winsstraße 2 10405 Berlin,POINT (13.4230406 52.5311485),"2, Winsstraße, 10405, Winsstraße, Berlin, Deutschland"
Kopenhagener Straße 39 10437 Berlin,POINT (13.4017065 52.5483645),"39, Kopenhagener Straße, 10437, Kopenhagener Straße, Berlin, Deutschland"
Eldenaer Straße 44 10247 Berlin,POINT (13.461453648355889 52.5202388),"44, Eldenaer Straße, 10247, Eldenaer Straße, Berlin, Deutschland"
Kolmarer Straße 6 10405 Berlin,POINT (13.4193345 52.5336973),"6, Kolmarer Straße, 10405, Kolmarer Straße, Berlin, Deutschland"
Jablonskistraße 24 10405 Berlin,POINT (13.4249084 52.537255),"24, Jablonskistraße, 10405, Jablonskistraße, Berlin, Deutschland"
Gleimstraße 56 10437 Berlin,POINT (13.4031714 52.5468924),"56, Gleimstraße, 10437, Gleimstraße, Berlin, Deutschland"
Esmarchstraße 15 10407 Berlin,POINT (13.432684315862042 52.533273699999995),"15, Esmarchstraße, 10407, Esmarchstraße, Berlin, Deutschland"
Korsörer Straße 10 10437 Berlin,POINT (13.4019369 52.5477057),"10, Korsörer Straße, 10437, Korsörer Straße, Berlin, Deutschland"
Gleimstraße 58 10437 Berlin,POINT (13.4026323 52.5468424),"58, Gleimstraße, 10437, Gleimstraße, Berlin, Deutschland"
Wichertstraße 57 10439 Berlin,POINT (13.4228651 52.5479811),"57, Wichertstraße, 10439, Wichertstraße, Berlin, Deutschland"
Dänenstraße 4 10439 Berlin,POINT (13.4120615 52.5498971),"4, Dänenstraße, 10439, Dänenstraße, Berlin, Deutschland"
Hufelandstraße 42 10407 Berlin,POINT (13.435498709086648 52.53001225),"42, Hufelandstraße, 10407, Hufelandstraße, Berlin, Deutschland"
Greifenhagener Straße 29 10437 Berlin,POINT (13.4188759 52.5516254),"29, Greifenhagener Straße, 10437, Greifenhagener Straße, Berlin, Deutschland"
Schivelbeiner Straße 43 10439 Berlin,POINT (13.4115411 52.5506652),"43, Schivelbeiner Straße, 10439, Schivelbeiner Straße, Berlin, Deutschland"
Chodowieckistraße 2 10405 Berlin,POINT (13.4312125 52.5359958),"2 II, Chodowieckistraße, 10405, Chodowieckistraße, Berlin, Deutschland"
Pasteurstraße 5 10407 Berlin,POINT (13.4322389 52.5341961),"5, Pasteurstraße, 10407, Pasteurstraße, Berlin, Deutschland"
Dunckerstraße 90 10437 Berlin,POINT (13.4189533 52.5407433),"90, Dunckerstraße, 10437, Dunckerstraße, Berlin, Deutschland"
Greifenhagener Straße 33 10437 Berlin,POINT (13.4196963 52.5525925),"Kita SEHsternTaler, 33, Greifenhagener Straße, 10437, Greifenhagener Straße, Berlin, Deutschland"
Paul-Robeson-Straße 8 10439 Berlin,POINT (13.4109541 52.5524674),"8 II, Paul-Robeson-Straße, 10439, Paul-Robeson-Straße, Berlin, Deutschland"
Göhrener Straße 3 10437 Berlin,POINT (13.4214305 52.5411547),"3, Göhrener Straße, 10437, Göhrener Straße, Berlin, Deutschland"
Kollwitzstraße 66 10435 Berlin,POINT (13.4181581 52.5361495),"66, Kollwitzstraße, 10435, Kollwitzstraße, Berlin, Deutschland"
Immanuelkirchstraße 14B 10405 Berlin,POINT (13.4249063 52.5310621),"14B, Immanuelkirchstraße, 10405, Immanuelkirchstraße, Berlin, Deutschland"
Dunckerstraße 25 10437 Berlin,POINT (13.4232403 52.5450023),"25, Dunckerstraße, 10437, Dunckerstraße, Berlin, Deutschland"
Raumerstraße 19 10437 Berlin,POINT (13.4224061 52.5414794),"19, Raumerstraße, 10437, Raumerstraße, Berlin, Deutschland"
Thaerstraße 31 10249 Berlin,POINT (13.4562113 52.5231942),"31, Thaerstraße, 10249, Thaerstraße, Berlin, Deutschland"
Stargarder Straße 19 10437 Berlin,POINT (13.4194843 52.5458246),"19, Stargarder Straße, 10437, Stargarder Straße, Berlin, Deutschland"
Gaudystraße 10 10437 Berlin,POINT (13.4127906 52.5467451),"Gaudystraße, 10437, Berlin, Deutschland"
Ella-Kay-Straße 36 10405 Berlin,POINT (13.4323217 52.5400531),"36, Ella-Kay-Straße, 10405, Ella-Kay-Straße, Berlin, Deutschland"
Heinrich-Roller-Straße 20 10405 Berlin,POINT (13.4229386 52.5308215),"20, Heinrich-Roller-Straße, 10405, Heinrich-Roller-Straße, Berlin, Deutschland"
Ahlbecker Straße 11 10437 Berlin,POINT (13.4235806 52.5450173),"11, Ahlbecker Straße, 10437, Ahlbecker Straße, Berlin, Deutschland"
Fehrbelliner Straße 97 10119 Berlin,POINT (13.409481 52.5309215),"97, Fehrbelliner Straße, 10119, Fehrbelliner Straße, Berlin, Deutschland"
Thomas-Mann-Straße 63 10409 Berlin,POINT (13.449097560858899 52.541139799999996),"63, Thomas-Mann-Straße, 10409, Thomas-Mann-Straße, Berlin, Deutschland"
Paul-Robeson-Straße 30 10439 Berlin,POINT (13.4049252 52.5527505),"30, Paul-Robeson-Straße, 10439, Paul-Robeson-Straße, Berlin, Deutschland"
Cantianstraße 15 10437 Berlin,POINT (13.410788803594802 52.5459818),"15, Cantianstraße, 10437, Cantianstraße, Berlin, Deutschland"
Bernhard-Lichtenberg-Straße 9 10407 Berlin,POINT (13.4371664 52.5352304),"9, Bernhard-Lichtenberg-Straße, 10407, Bernhard-Lichtenberg-Straße, Berlin, Deutschland"
Walter-Friedländer-Straße 26 10249 Berlin,POINT (13.4569639 52.5245836),"26, Walter-Friedländer-Straße, 10249, Walter-Friedländer-Straße, Berlin, Deutschland"
Dunckerstraße 77 10437 Berlin,POINT (13.4214484 52.5435161),"77, Dunckerstraße, 10437, Dunckerstraße, Berlin, Deutschland"
Schliemannstraße 42 10437 Berlin,POINT (13.4170585 52.5417858),"42, Schliemannstraße, 10437, Schliemannstraße, Berlin, Deutschland"
Korsörer Straße 4 10437 Berlin,POINT (13.4038839 52.5478538),"4, Korsörer Straße, 10437, Korsörer Straße, Berlin, Deutschland"
Liselotte-Herrmann-Straße 6 10407 Berlin,POINT (13.4337319 52.5321315),"6, Liselotte-Herrmann-Straße, 10407, Liselotte-Herrmann-Straße, Berlin, Deutschland"
Winsstraße 69 10405 Berlin,POINT (13.4232134 52.5317979),"69, Winsstraße, 10405, Winsstraße, Berlin, Deutschland"
Preußstraße 7 10409 Berlin,POINT (13.435138098666098 52.54465305),"Kindertagesstätte Prenzlauer Berg, 7, Preußstraße, 10409, Preußstraße, Berlin, Deutschland"
Gudvanger Straße 12 10439 Berlin,POINT (13.4229413 52.5482903),"12, Gudvanger Straße, 10439, Gudvanger Straße, Berlin, Deutschland"
Erich-Weinert-Straße 64 10439 Berlin,POINT (13.4242008 52.5491538),"64, Erich-Weinert-Straße, 10439, Erich-Weinert-Straße, Berlin, Deutschland"
Immanuelkirchstraße 14C 10405 Berlin,POINT (13.4254323 52.5312395),"14C, Immanuelkirchstraße, 10405, Immanuelkirchstraße, Berlin, Deutschland"
Seelower Straße 21 10439 Berlin,POINT (13.4106063 52.5526518),"21, Seelower Straße, 10439, Seelower Straße, Berlin, Deutschland"
Gleimstraße 13 10437 Berlin,POINT (13.4071078 52.5469832),"13A, Gleimstraße, 10437, Gleimstraße, Berlin, Deutschland"
Greifenhagener Straße 35 10437 Berlin,POINT (13.4194445 52.5527488),"35, Greifenhagener Straße, 10437, Greifenhagener Straße, Berlin, Deutschland"
Tegnerstraße 1 10439 Berlin,POINT (13.4101596 52.5544497),"1, Tegnerstraße, 10439, Tegnerstraße, Berlin, Deutschland"
Eldenaer Straße 36 10247 Berlin,POINT (13.464193 52.5201557),"36, Eldenaer Straße, 10247, Eldenaer Straße, Berlin, Deutschland"
Anton-Saefkow-Straße 64B 10407 Berlin,POINT (13.4442591 52.5348887),"64B, Anton-Saefkow-Straße, 10407, Anton-Saefkow-Straße, Berlin, Deutschland"
Christburger Straße 13 10405 Berlin,POINT (13.427880728506105 52.535238449999994),"Haus C13, 13, Christburger Straße, 10405, Christburger Straße, Berlin, Deutschland"
Seelower Straße 3 10439 Berlin,POINT (13.4104666 52.5506443),"3, Seelower Straße, 10439, Seelower Straße, Berlin, Deutschland"
Chodowieckistraße 28 10405 Berlin,POINT (13.4263884 52.5374603),"28, Chodowieckistraße, 10405, Chodowieckistraße, Berlin, Deutschland"
Korsörer Straße 19 10437 Berlin,POINT (13.4030016 52.5476022),"19, Korsörer Straße, 10437, Korsörer Straße, Berlin, Deutschland"
Tegnerstraße 8 10439 Berlin,POINT (13.4097476 52.5544713),"8, Tegnerstraße, 10439, Tegnerstraße, Berlin, Deutschland"
Cotheniusstraße 16 10407 Berlin,POINT (13.4476065 52.5283982),"16, Cotheniusstraße, 10407, Cotheniusstraße, Berlin, Deutschland"
Danziger Straße 73 10405 Berlin,POINT (13.4256909 52.5394569),"73, Danziger Straße, 10405, Danziger Straße, Berlin, Deutschland"
Straßburger Straße 6B 10405 Berlin,POINT (13.4134923 52.5289936),"6B, Straßburger Straße, 10405, Straßburger Straße, Berlin, Deutschland"
Agnes-Wabnitz-Straße 9 10249 Berlin,POINT (13.4549236 52.5256034),"9, Agnes-Wabnitz-Straße, 10249, Agnes-Wabnitz-Straße, Berlin, Deutschland"
Pappelallee 40 10437 Berlin,POINT (13.419289385977702 52.54711065),"Kita Pappelallee, 40, Pappelallee, 10437, Pappelallee, Berlin, Deutschland"
Jablonskistraße 35 10405 Berlin,POINT (13.4296924 52.535609),"35, Jablonskistraße, 10405, Jablonskistraße, Berlin, Deutschland"
Greifenhagener Straße 48 10437 Berlin,POINT (13.4160273 52.5486282),"48, Greifenhagener Straße, 10437, Greifenhagener Straße, Berlin, Deutschland"
Dunckerstraße 74 10437 Berlin,POINT (13.4218248 52.5439364),"74, Dunckerstraße, 10437, Dunckerstraße, Berlin, Deutschland"
Andersenstraße 3 10439 Berlin,POINT (13.4041391 52.5552084),"3, Andersenstraße, 10439, Andersenstraße, Berlin, Deutschland"
Christburger Straße 25 10405 Berlin,POINT (13.430037 52.5348484),"25, Christburger Straße, 10405, Christburger Straße, Berlin, Deutschland"
Bötzowstraße 49 10407 Berlin,POINT (13.4364551 52.5336111),"49, Bötzowstraße, 10407, Bötzowstraße, Berlin, Deutschland"
Erich-Nehlhans-Straße 27 10247 Berlin,POINT (13.459971982590794 52.52421405),"27, Erich-Nehlhans-Straße, 10247, Erich-Nehlhans-Straße, Berlin, Deutschland"
Bornholmer Straße 18 10439 Berlin,POINT (13.4059093 52.5545461),"18, Bornholmer Straße, 10439, Bornholmer Straße, Berlin, Deutschland"
Bornholmer Straße 95 10439 Berlin,POINT (13.413524705468717 52.55337715),"95, Bornholmer Straße, 10439, Bornholmer Straße, Berlin, Deutschland"
Käthe-Niederkirchner-Straße 22 10407 Berlin,POINT (13.4338781 52.5297719),"22, Käthe-Niederkirchner-Straße, 10407, Käthe-Niederkirchner-Straße, Berlin, Deutschland"
Storkower Straße 118 10407 Berlin,POINT (13.450265000000003 52.5348997),"Lodgecity Berlin, 118, Storkower Straße, 10407, Storkower Straße, Berlin, Deutschland"
Schivelbeiner Straße 40 10439 Berlin,POINT (13.410718 52.5507266),"40, Schivelbeiner Straße, 10439, Schivelbeiner Straße, Berlin, Deutschland"
Käthe-Niederkirchner-Straße 29 10407 Berlin,POINT (13.4318966 52.5306392),"Kindergarten Käthe, 29, Käthe-Niederkirchner-Straße, 10407, Käthe-Niederkirchner-Straße, Berlin, Deutschland"
Rykestraße 42 10405 Berlin,POINT (13.420774 52.5371041),"Neue Liebe, 42, Rykestraße, 10405, Rykestraße, Berlin, Deutschland"
Hermann-Blankenstein-Straße 12 10249 Berlin,POINT (13.4560081 52.5268211),"12, Hermann-Blankenstein-Straße, 10249, Hermann-Blankenstein-Straße, Berlin, Deutschland"
Pfannschmidtstraße 70 13125 Berlin,POINT (13.48764120803843 52.62152655),"Städt. Kita Pfannschmidtstraße 70, 70, Pfannschmidtstraße, 13125, Pfannschmidtstraße, Berlin, Deutschland"
Bahnhofstraße 53 13125 Berlin,POINT (13.4732357 52.6127894),"53, Bahnhofstraße, 13125, Bahnhofstraße, Berlin, Deutschland"
Tino-Schwierzina-Straße 46C 13089 Berlin,POINT (13.4342283 52.5587873),"46C, Tino-Schwierzina-Straße, 13089, Tino-Schwierzina-Straße, Berlin, Deutschland"
Bernkasteler Straße 9 13088 Berlin,POINT (13.471478 52.5566518),"9, Bernkasteler Straße, 13088, Bernkasteler Straße, Berlin, Deutschland"
Langhansstraße 74B 13086 Berlin,POINT (13.4305157 52.5553263),"Klax Kita Tausendfüßler, 74B, Langhansstraße, 13086, Langhansstraße, Berlin, Deutschland"
Else-Jahn-Straße 40 13088 Berlin,POINT (13.4736482 52.5515257),"40, Else-Jahn-Straße, 13088, Else-Jahn-Straße, Berlin, Deutschland"
Falkenberger Straße 13 13088 Berlin,POINT (13.4726879 52.5546557),"13, Falkenberger Straße, 13088, Falkenberger Straße, Berlin, Deutschland"
Gounodstraße 78 13088 Berlin,POINT (13.462986146435563 52.5474114),"78, Gounodstraße, 13088, Gounodstraße, Berlin, Deutschland"
Große Seestraße 5 13086 Berlin,POINT (13.4648347 52.5566413),"5, Große Seestraße, 13086, Große Seestraße, Berlin, Deutschland"
Liebermannstraße 20 13088 Berlin,POINT (13.4635081 52.5596453),"20, Liebermannstraße, 13088, Liebermannstraße, Berlin, Deutschland"
Lindenallee 48 13088 Berlin,POINT (13.462843 52.5481665),"48, Lindenallee, 13088, Lindenallee, Berlin, Deutschland"
Priesterstege 6 13129 Berlin,POINT (13.4531455 52.5941033),"6, Priesterstege, 13129, Priesterstege, Berlin, Deutschland"
Roelckestraße 60 13086 Berlin,POINT (13.454637221234458 52.55883445),"60, Roelckestraße, 13086, Roelckestraße, Berlin, Deutschland"
Roelckestraße 117 13086 Berlin,POINT (13.454774792329395 52.5597318),"117, Roelckestraße, 13086, Roelckestraße, Berlin, Deutschland"
Bühringstraße 21 13086 Berlin,POINT (13.4384422 52.5580422),"21, Bühringstraße, 13086, Bühringstraße, Berlin, Deutschland"
Streustraße 41 13086 Berlin,POINT (13.4398924 52.5510898),"41, Streustraße, 13086, Streustraße, Berlin, Deutschland"
Behaimstraße 39 13086 Berlin,POINT (13.446982 52.5509478),"39, Behaimstraße, 13086, Behaimstraße, Berlin, Deutschland"
Max-Steinke-Straße 22 13086 Berlin,POINT (13.4494102 52.5523678),"22, Max-Steinke-Straße, 13086, Max-Steinke-Straße, Berlin, Deutschland"
Romain-Rolland-Straße 52 13089 Berlin,POINT (13.441073131098307 52.56697195),"52, Romain-Rolland-Straße, 13089, Romain-Rolland-Straße, Berlin, Deutschland"
Amalienstraße 1 13086 Berlin,POINT (13.46041628414342 52.554573649999995),"1, Amalienstraße, 13086, Amalienstraße, Berlin, Deutschland"
Röländer Straße 46 13125 Berlin,POINT (13.484480799018836 52.623927249999994),"Städt. Kita Röländer Straße, 46, Röländer Straße, 13125, Röländer Straße, Berlin, Deutschland"
Albertinenstraße 20 13086 Berlin,POINT (13.4590385 52.5517085),"20, Albertinenstraße, 13086, Albertinenstraße, Berlin, Deutschland"
Pfannschmidtstraße 2 13125 Berlin,POINT (13.4816172 52.624267),"2, Pfannschmidtstraße, 13125, Pfannschmidtstraße, Berlin, Deutschland"
Busonistraße 145 13125 Berlin,POINT (13.4868394 52.6230004),"145, Busonistraße, 13125, Busonistraße, Berlin, Deutschland"
Straße 43 13 13125 Berlin,POINT (13.4785736 52.6045853),"13, Straße 43, 13125, Straße 43, Berlin, Deutschland"
Hofzeichendamm 1 13125 Berlin,POINT (13.486850414262578 52.6158382),"Städt. Kita Sonnenblume, 1, Hofzeichendamm, 13125, Hofzeichendamm, Berlin, Deutschland"
Münchehagenstraße 43 13125 Berlin,POINT (13.493713842681606 52.6143644),"Städt. Kita Münchehagenstraße 43, 43, Münchehagenstraße, 13125, Münchehagenstraße, Berlin, Deutschland"
Sägebockweg 107 13125 Berlin,POINT (13.489703783015514 52.61386805),"bik-Kindertagesstätte Entdeckerland, 107, Sägebockweg, 13125, Sägebockweg, Berlin, Deutschland"
Hedwigstraße 6 13086 Berlin,POINT (13.4492223 52.5544483),"6, Hedwigstraße, 13086, Hedwigstraße, Berlin, Deutschland"
Berliner Allee 110 13088 Berlin,POINT (13.4598267 52.5501017),"110, Berliner Allee, 13088, Berliner Allee, Berlin, Deutschland"
Heinersdorfer Straße 200 13129 Berlin,POINT (13.4542929 52.5901549),"200, Heinersdorfer Straße, 13129, Heinersdorfer Straße, Berlin, Deutschland"
Rennbahnstraße 86 13086 Berlin,POINT (13.452406260060183 52.562713),"86, Rennbahnstraße, 13086, Rennbahnstraße, Berlin, Deutschland"
Wigandstaler Straße 15 13086 Berlin,POINT (13.443169553191474 52.558449350000004),"15, Wigandstaler Straße, 13086, Wigandstaler Straße, Berlin, Deutschland"
Meyerbeerstraße 96 13088 Berlin,POINT (13.4624178 52.5484757),"96, Meyerbeerstraße, 13088, Meyerbeerstraße, Berlin, Deutschland"
Borodinstraße 11 13088 Berlin,POINT (13.452643 52.5463851),"11, Borodinstraße, 13088, Borodinstraße, Berlin, Deutschland"
Charlottenburger Straße 7 13086 Berlin,POINT (13.4515924 52.5510863),"7, Charlottenburger Straße, 13086, Charlottenburger Straße, Berlin, Deutschland"
Herbert-Baum-Straße 34 13088 Berlin,POINT (13.4571073 52.5463484),"34, Herbert-Baum-Straße, 13088, Herbert-Baum-Straße, Berlin, Deutschland"
Charlottenburger Straße 141 13086 Berlin,POINT (13.4532778 52.5498946),"141, Charlottenburger Straße, 13086, Charlottenburger Straße, Berlin, Deutschland"
Smetanastraße 32 13088 Berlin,POINT (13.4596125 52.5473374),"32, Smetanastraße, 13088, Smetanastraße, Berlin, Deutschland"
Achillesstraße 68 13125 Berlin,POINT (13.4897481 52.6167891),"68, Achillesstraße, 13125, Achillesstraße, Berlin, Deutschland"
Alt-Karow 8 13125 Berlin,POINT (13.4826781 52.6105396),"8, Alt-Karow, 13125, Alt-Karow, Berlin, Deutschland"
Streustraße 121 13086 Berlin,POINT (13.4476839 52.5483313),"121, Streustraße, 13086, Streustraße, Berlin, Deutschland"
Charlottenburger Straße 1 13086 Berlin,POINT (13.4537483 52.5500093),"1, Charlottenburger Straße, 13086, Charlottenburger Straße, Berlin, Deutschland"
Pistoriusplatz 22 13086 Berlin,POINT (13.451696 52.5519832),"22, Pistoriusplatz, 13086, Pistoriusplatz, Berlin, Deutschland"
Lehderstraße 62 13086 Berlin,POINT (13.4322593 52.55183),"62, Lehderstraße, 13086, Lehderstraße, Berlin, Deutschland"
Streustraße 5 13086 Berlin,POINT (13.4486832 52.5482835),"5, Streustraße, 13086, Streustraße, Berlin, Deutschland"
Roelckestraße 24 13086 Berlin,POINT (13.4450824 52.5534354),"24, Roelckestraße, 13086, Roelckestraße, Berlin, Deutschland"
Gäblerstraße 18 13086 Berlin,POINT (13.4482733 52.5545202),"18, Gäblerstraße, 13086, Gäblerstraße, Berlin, Deutschland"
Roelckestraße 30 13086 Berlin,POINT (13.4467672 52.5545008),"30, Roelckestraße, 13086, Roelckestraße, Berlin, Deutschland"
Bizetstraße 51 13088 Berlin,POINT (13.4542599 52.5480328),"51, Bizetstraße, 13088, Bizetstraße, Berlin, Deutschland"
Große Seestraße 8 13086 Berlin,POINT (13.4637591 52.5569119),"8, Große Seestraße, 13086, Große Seestraße, Berlin, Deutschland"
Langhansstraße 142 13086 Berlin,POINT (13.4476052 52.5494031),"142, Langhansstraße, 13086, Langhansstraße, Berlin, Deutschland"
Goethestraße 50 13086 Berlin,POINT (13.4383631 52.5538008),"50, Goethestraße, 13086, Goethestraße, Berlin, Deutschland"
Schönstraße 5 13086 Berlin,POINT (13.4508963 52.5532557),"5, Schönstraße, 13086, Schönstraße, Berlin, Deutschland"
Naugarder Straße 15 10409 Berlin,POINT (13.4376286 52.5448876),"15, Naugarder Straße, 10409, Naugarder Straße, Berlin, Deutschland"
Charlottenburger Straße 3 13086 Berlin,POINT (13.4527184 52.5503107),"3, Charlottenburger Straße, 13086, Charlottenburger Straße, Berlin, Deutschland"
Wittlicher Straße 24 13088 Berlin,POINT (13.4761719 52.5585982),"24, Wittlicher Straße, 13088, Wittlicher Straße, Berlin, Deutschland"
Blankenburger Chaussee 88 13125 Berlin,POINT (13.4801439 52.6081361),"88, Blankenburger Chaussee, 13125, Blankenburger Chaussee, Berlin, Deutschland"
Goethestraße 33 13086 Berlin,POINT (13.4370253 52.552702),"33, Goethestraße, 13086, Goethestraße, Berlin, Deutschland"
Achillesstraße 59 13125 Berlin,POINT (13.4886955 52.6178908),"59, Achillesstraße, 13125, Achillesstraße, Berlin, Deutschland"
Pistoriusstraße 6 13086 Berlin,POINT (13.4570853 52.550855),"6, Pistoriusstraße, 13086, Pistoriusstraße, Berlin, Deutschland"
Gatterweg 17 13125 Berlin,POINT (13.4954317 52.6113651),"17, Gatterweg, 13125, Gatterweg, Berlin, Deutschland"
Bahnhofstraße 33 13125 Berlin,POINT (13.4805721 52.6100115),"33E, Bahnhofstraße, 13125, Bahnhofstraße, Berlin, Deutschland"
Triftstraße 12b 13127 Berlin,POINT (13.4311839 52.6095389),"12B, Triftstraße, 13127, Triftstraße, Berlin, Deutschland"
Am Steinberg 14 13086 Berlin,POINT (13.4310039 52.5568896),"14, Am Steinberg, 13086, Am Steinberg, Berlin, Deutschland"
Berliner Allee 59 13088 Berlin,POINT (13.4538774 52.5491177),"59, Berliner Allee, 13088, Berliner Allee, Berlin, Deutschland"
Lehderstraße 93 13086 Berlin,POINT (13.4397074 52.5496488),"93, Lehderstraße, 13086, Lehderstraße, Berlin, Deutschland"
Falkenberger Straße 138 13088 Berlin,POINT (13.4856268 52.5566465),"138, Falkenberger Straße, 13088, Falkenberger Straße, Berlin, Deutschland"
Prenzlauer Promenade 47 13089 Berlin,POINT (13.428017 52.5621647),"47, Prenzlauer Promenade, 13089, Prenzlauer Promenade, Berlin, Deutschland"
Wigandstaler Straße 7 13086 Berlin,POINT (13.443281 52.5580918),"7, Wigandstaler Straße, 13086, Wigandstaler Straße, Berlin, Deutschland"
Rennbahnstraße 87 13086 Berlin,POINT (13.4533327 52.5623533),"87, Rennbahnstraße, 13086, Rennbahnstraße, Berlin, Deutschland"
Petitweg 20 13127 Berlin,POINT (13.416140568070293 52.60731905),"20, Petitweg, 13127, Petitweg, Berlin, Deutschland"
Wiesenwinkel 17 13158 Berlin,POINT (13.379792128153262 52.59263115),"17, Wiesenwinkel, 13158, Wiesenwinkel, Berlin, Deutschland"
Nantesstraße 69 13127 Berlin,POINT (13.4178461 52.6041512),"69, Nantesstraße, 13127, Nantesstraße, Berlin, Deutschland"
Eddastraße 46 13127 Berlin,POINT (13.438051118289428 52.60435935),"Kita Spatzenhaus, 46, Eddastraße, 13127, Eddastraße, Berlin, Deutschland"
Fontanestraße 83 13158 Berlin,POINT (13.3603827 52.5894309),"83, Fontanestraße, 13158, Fontanestraße, Berlin, Deutschland"
Friedrich-Engels-Straße 45 13156 Berlin,POINT (13.3904443 52.5839758),"45, Friedrich-Engels-Straße, 13156, Friedrich-Engels-Straße, Berlin, Deutschland"
Nesselweg 11 13158 Berlin,POINT (13.3821743 52.598178),"11, Nesselweg, 13158, Nesselweg, Berlin, Deutschland"
Friedrich-Richter-Straße 36 13125 Berlin,POINT (13.4936361 52.6263549),"36, Friedrich-Richter-Straße, 13125, Friedrich-Richter-Straße, Berlin, Deutschland"
Görschstraße 15 13187 Berlin,POINT (13.4004982 52.5642345),"15, Görschstraße, 13187, Görschstraße, Berlin, Deutschland"
Kreuzstraße 5 13187 Berlin,POINT (13.3979616 52.5687056),"5, Kreuzstraße, 13187, Kreuzstraße, Berlin, Deutschland"
Heinrich-Böll-Straße 1 13156 Berlin,POINT (13.4026509 52.5876012),"1, Heinrich-Böll-Straße, 13156, Heinrich-Böll-Straße, Berlin, Deutschland"
Klothildestraße 21 13156 Berlin,POINT (13.416501073054519 52.58116525),"21, Klothildestraße, 13156, Klothildestraße, Berlin, Deutschland"
Lindenberger Weg 26 13125 Berlin,POINT (13.50311061857263 52.63045995),"Kita ""Kleine Raupe Nimmersatt"", 26, Lindenberger Weg, 13125, Lindenberger Weg, Berlin, Deutschland"
Mendelstraße 49 13187 Berlin,POINT (13.4172831 52.5778245),"49, Mendelstraße, 13187, Mendelstraße, Berlin, Deutschland"
Neumannstraße 7 13189 Berlin,POINT (13.4192523 52.5682259),"Neumannstraße, 13189, Berlin, Deutschland"
Schönholzer Straße 4D 13187 Berlin,POINT (13.4007864 52.5706797),"4D, Schönholzer Straße, 13187, Schönholzer Straße, Berlin, Deutschland"
Pestalozzistraße 9 13187 Berlin,POINT (13.405556 52.5716322),"9-11, Pestalozzistraße, 13187, Pestalozzistraße, Berlin, Deutschland"
Robert-Rössle-Straße 1 13125 Berlin,POINT (13.4986834 52.6283029),"1, Robert-Rössle-Straße, 13125, Robert-Rössle-Straße, Berlin, Deutschland"
Cunistraße 34 13127 Berlin,POINT (13.422408105403939 52.609866100000005),"KiTa Zauberstein, 34, Cunistraße, 13127, Cunistraße, Berlin, Deutschland"
Zillertalstraße 38 13187 Berlin,POINT (13.4064156 52.560197),"38, Zillertalstraße, 13187, Zillertalstraße, Berlin, Deutschland"
Matthieustraße 12 13127 Berlin,POINT (13.4192159 52.6083015),"12, Matthieustraße, 13127, Matthieustraße, Berlin, Deutschland"
Schweizer Tal 18 13127 Berlin,POINT (13.4255598 52.6051632),"18, Schweizer Tal, 13127, Schweizer Tal, Berlin, Deutschland"
Vesaliusstraße 68 13187 Berlin,POINT (13.4269848 52.580236),"68, Vesaliusstraße, 13187, Vesaliusstraße, Berlin, Deutschland"
Elsa-Brändström-Straße 36 13189 Berlin,POINT (13.4193553 52.5595816),"36, Elsa-Brändström-Straße, 13189, Elsa-Brändström-Straße, Berlin, Deutschland"
Goethestraße 3 13158 Berlin,POINT (13.3639867 52.5875856),"Goethestraße, 13158, Berlin, Deutschland"
Treskowstraße 5 13156 Berlin,POINT (13.3979718 52.5816163),"5, Treskowstraße, 13156, Treskowstraße, Berlin, Deutschland"
Breite Straße 38 13187 Berlin,POINT (13.408827 52.5702134),"38, Breite Straße, 13187, Breite Straße, Berlin, Deutschland"
Gartenstraße 16 13127 Berlin,POINT (13.4305088 52.6063098),"16, Gartenstraße, 13127, Gartenstraße, Berlin, Deutschland"
Pradelstraße 11 13187 Berlin,POINT (13.39629871089711 52.564586649999995),"Lutherhaus, 11, Pradelstraße, 13187, Pradelstraße, Berlin, Deutschland"
Majakowskiring 13 13156 Berlin,POINT (13.3995056 52.5742268),"Majakowskiring, 13156, Berlin, Deutschland"
Eschengraben 49 13189 Berlin,POINT (13.425612322145486 52.557326950000004),"49, Eschengraben, 13189, Eschengraben, Berlin, Deutschland"
Schützenstraße 133 13127 Berlin,POINT (13.425424550007634 52.6123773),"133, Schützenstraße, 13127, Schützenstraße, Berlin, Deutschland"
Pankower Straße 13 13156 Berlin,POINT (13.4254936 52.5846844),"13, Pankower Straße, 13156, Pankower Straße, Berlin, Deutschland"
Walter-Friedrich-Straße 20 13125 Berlin,POINT (13.4920974 52.6320056),"20, Walter-Friedrich-Straße, 13125, Walter-Friedrich-Straße, Berlin, Deutschland"
Uhlandstraße 33 13158 Berlin,POINT (13.3662925 52.590667),"33, Uhlandstraße, 13158, Uhlandstraße, Berlin, Deutschland"
